day;var
-6.627600109950805; 22.474917263856483
-5.0053173385827066; 25.590063765506322
-2.4883295047348923; 18.380139842813747
-3.0975936279250007; 15.817561488930565
2.2785469355720807; 23.30249547835357
1.37575613387245; 27.401206592149716
4.762884960501033; 20.313210081409878
9.043540317978987; 17.401109757644633
10.807493075184695; 14.637998697637514
10.438399743865652; 21.73811447210212
15.19868566176961; 16.14848536205517
16.983378768105517; 19.212745687706374
21.640329586609887; 23.155062689751244
20.857924561806406; 18.938808952390218
26.265850581290046; 26.64236718697605
26.1348402814942; 28.613409521895033
30.64580819451178; 20.879219780084654
29.380068115625114; 18.36811592808207
35.91916272420443; 23.145551614132877
35.40264528058953; 20.447877203378965
41.63210555565579; 24.632253954102044
42.86340881541759; 27.043414240400445
46.02715564782107; 33.04599785123938
46.49037497453816; 36.285346764703846
49.20284288550631; 28.84420939664868
49.890150963913975; 25.814233496057362
54.68505697148479; 33.10089216450858
55.545829975401595; 29.99115601778613
55.457073095361686; 26.916960598188563
55.631800893430416; 23.737372999227304
56.47533570317682; 22.08943265433343
61.62365236504326; 24.26098375720579
65.83177090823742; 27.500223493813696
65.47546189761056; 22.25965983532279
65.76059048986684; 19.80893230334781
70.11547164929024; 31.50503810051822
70.72141621762069; 34.909885391032205
70.3451681870697; 37.53191509836954
71.12608782820362; 40.24931259747002
73.12355686711709; 26.976869681036522
75.58476364205987; 24.022591391255677
77.27965625329131; 28.753306829864737
80.4618369833521; 31.76327968662037
80.79420459387512; 35.49394289172589
81.36076306893483; 37.10632057470755
85.71315412839817; 27.676053905831072
83.42237148660183; 23.611946577475873
83.33624743176361; 20.596331518615607
88.61831123790193; 30.019025398741586
91.5797081660159; 33.61333285572914
91.40740539560863; 37.10862847223151
92.10451191613555; 39.79344210234239
94.10166318532413; 29.262315906304757
96.69886086969737; 26.585448254576892
100.69980121634791; 31.322499999809068
100.7546636713042; 35.47480252581336
101.4425386017353; 38.68711650209816
104.90028533286426; 27.062841484771646
104.896434788048; 24.28985503465215
108.20181371975076; 29.67453626503897
108.47029913170488; 24.65478829392119
112.15802245250583; 22.422761214000964
108.98417073565835; 19.59810890124126
117.18937655009736; 26.26716407896081
117.14278912244734; 22.482206716973465
121.49285673933758; 30.406695063749353
121.75517980461353; 34.41112520162294
122.09066004008668; 36.37878624735158
125.63931971341609; 26.288722043447375
124.48472716949476; 20.387425037972214
125.45419509729106; 23.269054173375977
129.7684125773144; 23.06684471679765
129.7945434433587; 26.39664358305796
