% Matthews et al. 2007 Fig. 3 karri_PMC data digitized
day;fm
-8.688509762674396; 204.82522978098194
-9.02846859863294; 113.48048427694437
-8.812159367069984; 138.64557351283008
-7.681809953866935; 180.447223456073
-7.643729871767128; 167.31325871654565
-7.828871809234826; 193.37479071992345
-7.035571564994719; 121.5669525404038
-6.751885778674367; 143.7885673283903
-5.98152879514231; 157.95605972597116
-5.393075788897384; 177.75173403491982
-5.477040143829839; 206.71746335463143
-5.814941525923643; 87.40971059555125
-4.776284849000703; 192.6470085762121
-4.257353760283607; 166.64272363387408
-4.039768832371742; 176.59087659087652
-3.9435219650598796; 188.03772166604023
-2.6524095420978853; 158.38323062090444
-3.1050926508030585; 169.60057402535278
-2.1029035004138024; 105.16759490210814
-1.5476384033232407; 120.58554934661129
-1.455837632828775; 143.30337923258276
-0.5278989568302634; 98.22940513206004
-0.9935378680476248; 133.21146683978543
-0.06228702861440638; 118.00890650448173
0.4718190003378382; 64.42257681195724
0.6634207968562649; 111.28558574829106
1.0798696963304337; 87.60378583387433
2.1824288665670366; 71.9160374027631
2.2164503840143155; 98.65637065637077
2.8477259028995334; 81.22169626594393
3.876455429788095; 98.13236751289844
3.7891316911683006; 86.14822154645162
4.074193610565395; 111.66911538592944
4.366905210889087; 155.5301192469334
4.3610364080618; 141.459664468514
4.974133739873672; 178.0455698868197
6.11550489465354; 194.70905798339425
6.108523043014181; 219.08975979772435
6.92262472841432; 182.20076184677953
7.9157230602965996; 176.71666609719693
8.387601790611939; 156.69457067687154
8.733294514390245; 97.3075477500256
9.47343824566596; 117.36198904340495
9.84999446385293; 142.93544492659532
10.937526708564022; 118.6337699612036
10.880669231643239; 146.79673352239718
12.033093952339279; 66.60207254391833
12.030882998236379; 108.29524279045654
13.333742082372737; 130.30033826494002
12.708659651585087; 88.4771244063279
13.438455401783727; 146.38085801170496
13.237769328092035; 150.8399676541269
13.108520750884203; 60.27152310338147
14.314505765888569; 122.58584754159972
14.72073433463894; 104.58536918713901
15.112480815139378; 94.88160727098773
16.25881990531746; 129.32996207332485
16.006947639917087; 183.3812636909982
15.943287431471099; 167.8215510073917
16.053998686645166; 213.94676598216415
17.00635866544308; 153.4074213277753
17.210274267127375; 189.97847404927046
16.910155832890624; 128.3595858817098
17.38799106078813; 177.4444482409084
18.321530636956133; 152.06448999116503
17.927887192146613; 101.18905251648607
18.502591395446238; 163.21226409721976
18.833268078887137; 133.61579025295828
19.287380751295046; 180.65208065208066
19.86944906542201; 150.67823828885776
19.921523668439903; 193.28771678487232
20.541002006872617; 181.73027642054188
20.72912749336384; 155.7727132948371
20.954894266954213; 121.37287730208072
21.4966859541684; 170.2798373594834
21.819967528452857; 139.40146576050483
22.422621142305182; 153.2982540062186
23.073686918637087; 120.61197914548097
23.156990511258876; 137.57815970205343
24.18039749958139; 109.06233207118157
24.111795262422305; 124.01984791365328
24.9154862108252; 77.12372296443095
25.406401027092755; 102.74064361453748
25.87137253063227; 66.15847199917994
26.7633765943768; 99.41002949852498
26.618808418064653; 48.86960285190378
28.004798722544898; 82.20606826801509
27.675024283216807; 113.9656723727519
28.397123132236224; 63.344381043496014
28.147344860181796; 95.00290429493964
29.687289115712893; 77.10934702085137
29.799171133341126; 52.93979187784498
29.837428532307975; 35.00939624833427
30.611736116363907; 82.14541975603913
31.468227177252977; 52.18505483992192
31.480496010749697; 67.89301944169199
32.91988972265809; 56.56145146410631
32.85642165566866; 35.97977243994933
33.73901539763842; 68.60058541474461
33.79085648927944; 83.23709297160622
33.564604021661985; 89.05935012129703
34.29155499255912; 46.15485993488528
35.11310788489265; 100.82516144463045
34.607530758573056; 122.29473468411516
35.41894334257322; 39.084976253117816
36.02547624473119; 31.214147143350715
35.75751255395428; 83.23709297160622
36.245796949184516; 69.65182628899436
37.095936886094414; 57.360394528536176
37.39457125524839; 24.044145283083253
37.52052405155815; 33.60928202900391
38.14393980016356; 47.93965900160583
39.09370642711972; 34.95465707855078
39.109868012624396; 19.930154554048272
40.673628182445434; 27.153269808136997
40.81217076833824; 30.351590528581596
42.11370548270684; 43.959961406231855
42.388638176074785; 26.920617565371003
43.77414976084312; 21.152714515546222
44.448747207422194; 13.393667582458193
45.71809616215598; 22.938352837214893
45.95080008340502; 14.308037493878032
47.35221791899561; 14.141109684725393
47.84695406231483; 25.422695587044473
48.96986680198453; 15.454858222602525
50.46389181485659; 16.803646007185762
50.21544997973246; 8.227013359756711
51.74260616636986; 29.120650359588353
51.89269600705344; 16.14251057993158
53.37328655991691; 18.59967381143099
54.25161456506792; 13.58025535016668
55.64347397754036; 17.12690331653664
56.840026816680215; 23.93183322386858
57.6660570669817; 16.88762086992176
58.50996489422261; 25.291771815159905
58.50543753204156; 14.43742098609357
58.93301017388608; 52.670242935729675
59.61437818213404; 107.2539037140807
59.35957095317418; 88.4771244063279
59.826542631930145; 127.18127193474857
60.727079281436225; 77.50305183933506
60.73972449714142; 107.81995649252292
61.906151468261164; 131.6865899672473
61.377720703345666; 157.106980558308
61.812602365722775; 89.50410587578733
62.50815218984496; 71.17747330136717
62.53038393450142; 124.47808111524921
62.97830175948054; 101.83596997756285
63.72195370925348; 93.75052856721629
63.325950750867925; 58.10434960877433
65.10454975023393; 111.63907993237945
64.81570924694753; 120.92003507932714
64.96868359190705; 96.05992121794895
65.9372699694938; 68.54912607124993
66.65810858969292; 97.14581838475647
67.07540745371449; 33.990501247138354
66.4920282154311; 82.75190487579869
67.0803925632425; 67.87280327103326
67.52837784572537; 100.21867632487101
67.50935482966452; 54.61099531895991
